province,agency,vehicle_type,presumed_cause,accident_type,number_of_vehicles_involved,number_of_fatalities,number_of_injuries,weather_condition,road_description,slope_description
Chon Buri,department of highways,private/passenger car,speeding,rear-end collision,2,0,1,clear,straight road,no slope
Chon Buri,department of highways,large truck with trailer,speeding,rear-end collision,2,0,0,clear,straight road,no slope
Chiang Mai,department of highways,4-wheel pickup truck,speeding,rollover/fallen on curved road,1,0,0,clear,wide curve,no slope
Songkhla,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,2,0,0,rainy,straight road,no slope
Chon Buri,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Krabi,department of rural roads,private/passenger car,slippery road,other,1,0,0,rainy,sharp curve,no slope
Chon Buri,department of highways,large truck with trailer,speeding,rollover/fallen on curved road,1,0,0,clear,wide curve,no slope
Chiang Mai,department of highways,motorcycle,speeding,rear-end collision,2,0,0,clear,straight road,no slope
Chiang Mai,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,1,rainy,straight road,no slope
Chiang Rai,department of highways,4-wheel pickup truck,speeding,rollover/fallen on curved road,1,0,0,clear,wide curve,no slope
Chiang Mai,department of rural roads,4-wheel pickup truck,speeding,other,2,0,0,clear,straight road,no slope
Chon Buri,department of highways,private/passenger car,speeding,rollover/fallen on straight road,1,0,2,clear,straight road,no slope
Surat Thani,department of highways,4-wheel pickup truck,speeding,rollover/fallen on curved road,1,0,1,clear,wide curve,no slope
Chon Buri,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Chiang Rai,department of highways,4-wheel pickup truck,speeding,other,2,0,0,clear,connecting to public/commercial area,other
Surat Thani,department of highways,private/passenger car,falling asleep,rollover/fallen on straight road,1,0,1,clear,straight road,no slope
Chon Buri,department of highways,4-wheel pickup truck,speeding,rear-end collision,2,0,1,clear,straight road,no slope
Chiang Mai,department of highways,motorcycle,cutting in closely by people/vehicles/animals,rear-end collision,2,0,1,clear,straight road,no slope
Chiang Mai,department of highways,motorcycle,speeding,rear-end collision,2,0,1,clear,straight road,no slope
Phuket,department of highways,6-wheel truck,slippery road,rollover/fallen on straight road,1,0,0,rainy,straight road,no slope
Surat Thani,department of highways,large truck with trailer,speeding,collision with obstruction (on road surface),2,1,1,rainy,straight road,no slope
Chon Buri,department of highways,4-wheel pickup truck,speeding,rear-end collision,2,0,0,clear,straight road,no slope
Kanchanaburi,department of highways,4-wheel pickup truck,cutting in closely by people/vehicles/animals,collision with obstruction (on road surface),1,0,2,clear,straight road,no slope
Phangnga,department of highways,private/passenger car,falling asleep,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Chiang Mai,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Songkhla,department of highways,private/passenger car,speeding,rollover/fallen on straight road,2,0,3,rainy,straight road,no slope
Surat Thani,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,rainy,straight road,no slope
Prachuap Khiri Khan,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,rainy,straight road,no slope
Chiang Mai,department of highways,motorcycle,speeding,rear-end collision,2,0,0,clear,straight road,no slope
Chiang Rai,department of highways,private/passenger car,speeding,side collision,2,0,1,clear,wide curve,no slope
Chon Buri,department of highways,private/passenger car,speeding,rear-end collision,3,0,2,clear,straight road,no slope
Chon Buri,department of highways,private/passenger car,falling asleep,rollover/fallen on straight road,1,0,2,clear,straight road,no slope
Prachuap Khiri Khan,department of highways,4-wheel pickup truck,cutting in closely by people/vehicles/animals,rear-end collision,2,0,0,rainy,straight road,no slope
Songkhla,department of highways,4-wheel pickup truck,falling asleep,rollover/fallen on straight road,1,0,0,rainy,straight road,no slope
Prachuap Khiri Khan,department of highways,4-wheel pickup truck,speeding,rollover/fallen on curved road,1,0,0,rainy,wide curve,no slope
Prachuap Khiri Khan,department of highways,4-wheel pickup truck,worn-out/tire blowout,rollover/fallen on straight road,1,0,2,rainy,straight road,no slope
