Month,Province,Vehicle_type,Cause,Weather_condition,Slope_description
December,Nakhon Si Thammarat,motorcycle,speeding,clear,no slope
December,Prachuap Khiri Khan,4-wheel pickup truck,speeding,clear,no slope
December,Saraburi,large passenger vehicle,cutting in closely by people/vehicles/animals,clear,no slope
December,Rayong,motorcycle,driving under the influence of alcohol,clear,no slope
December,Satun,motorcycle,speeding,clear,other
December,Songkhla,private/passenger car,speeding,clear,no slope
December,Tak,4-wheel pickup truck,speeding,clear,no slope
December,Tak,4-wheel pickup truck,speeding,clear,no slope
December,Suphan Buri,motorcycle,speeding,clear,no slope
December,Chaiyaphum,motorcycle,speeding,clear,no slope
December,Nonthaburi,private/passenger car,speeding,clear,no slope
December,Phetchabun,4-wheel pickup truck,speeding,clear,other
December,Pathum Thani,private/passenger car,speeding,clear,no slope
December,Nakhon Si Thammarat,4-wheel pickup truck,speeding,clear,no slope
December,Bueng Kan,motorcycle,cutting in closely by people/vehicles/animals,clear,other
December,Mukdahan,motorcycle,speeding,clear,no slope
December,Trat,motorcycle,speeding,clear,no slope
December,Loburi,private/passenger car,speeding,clear,no slope
December,Bangkok,private/passenger car,speeding,clear,no slope
December,Satun,motorcycle,speeding,clear,no slope
December,Chaiyaphum,motorcycle,speeding,clear,no slope
December,Udon Thani,private/passenger car,speeding,clear,no slope
December,Loburi,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Yasothon,motorcycle,driving under the influence of alcohol,clear,no slope
December,Uttaradit,motorcycle,speeding,clear,no slope
December,Nakhon Pathom,motorcycle,speeding,clear,no slope
December,Songkhla,private/passenger car,speeding,clear,no slope
December,Uttaradit,motorcycle,speeding,clear,no slope
December,Nong Khai,4-wheel pickup truck,falling asleep,clear,no slope
December,Bangkok,4-wheel pickup truck,vehicle equipment failure,clear,no slope
December,Kanchanaburi,motorcycle,speeding,clear,no slope
December,Bueng Kan,private/passenger car,driving under the influence of alcohol,clear,no slope
December,Phichit,private/passenger car,speeding,clear,no slope
December,Nakhon Nayok,motorcycle,speeding,clear,no slope
December,Chanthaburi,private/passenger car,speeding,clear,no slope
December,Chanthaburi,motorcycle,driving under the influence of alcohol,clear,no slope
December,Chaiyaphum,private/passenger car,speeding,clear,no slope
December,Lamphun,motorcycle,speeding,clear,no slope
December,Rayong,motorcycle,speeding,clear,other
December,Phetchabun,4-wheel pickup truck,vehicle equipment failure,clear,other
December,Maha Sarakham,motorcycle,speeding,clear,other
December,Phayao,motorcycle,speeding,clear,no slope
December,Phitsanulok,private/passenger car,speeding,clear,no slope
December,Songkhla,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,no slope
December,Nong Bua Lam Phu,motorcycle,driving under the influence of alcohol,clear,no slope
December,Ang Thong,motorcycle,cutting in closely by people/vehicles/animals,dark,no slope
December,Roi Et,4-wheel pickup truck,speeding,clear,no slope
December,Roi Et,private/passenger car,speeding,clear,no slope
December,Nakhon Si Thammarat,private/passenger car,speeding,clear,no slope
December,Phetchabun,motorcycle,speeding,clear,no slope
December,Phitsanulok,motorcycle,speeding,clear,no slope
December,Loei,motorcycle,speeding,clear,no slope
December,Trang,motorcycle,speeding,clear,other
